cons_no,flag,media,std,max,min,mediana,coef_variacion,skewness,kurtosis,dias_consumo_cero,racha_max_ceros,n_picos,n_valles,pct_dias_bajo_media,tendencia_lineal,confidence_0,confidence_1,prediction_flag,support_prediction,contradict_prediction
006A4BFF393612BB080B033CB1435C6F,0,2.088916827852996,0.7950777826063232,5.81,0.45,1.84,0.3806172519676191,0.948926162672843,0.7688110751641619,0,0,0,2,0.6189555125725339,0.0016784317765135,0.8930394046483807,0.1069605953516193,0,pct_dias_bajo_media = 0.619 (0.079); media = 2.089 (0.074),tendencia_lineal = 0.002 (-0.297); racha_max_ceros = 0 (-0.179); max = 5.810 (-0.158); std = 0.795 (-0.138); n_valles = 2 (-0.128)
00AA8CBE62FEF460FF29E60AF6042799,0,7.766044487427482,1.7043173132698324,22.5,3.54,7.54,0.2194575779251543,2.700851077537175,12.016560613690862,0,0,0,0,0.7388781431334622,0.0011701888757579,0.9244654253177316,0.0755345746822684,0,pct_dias_bajo_media = 0.739 (0.101); media = 7.766 (0.053); skewness = 2.701 (0.009),tendencia_lineal = 0.001 (-0.312); racha_max_ceros = 0 (-0.205); max = 22.500 (-0.172); std = 1.704 (-0.139); mediana = 7.540 (-0.121)
00C3EAEB5458C6EE15CD538A12BF34F6,0,6.012998065764025,5.698074937402268,23.3,0.25,3.83,0.9476262714676688,1.5291111673339588,1.434849198565904,0,0,77,186,0.6711798839458414,0.0049500224194493,0.3954097459340523,0.6045902540659477,1,max = 23.300 (0.227); tendencia_lineal = 0.005 (0.207); std = 5.698 (0.186); racha_max_ceros = 0 (0.158); mediana = 3.830 (0.137),pct_dias_bajo_media = 0.671 (-0.128); n_picos = 77 (-0.051); n_valles = 186 (-0.046); skewness = 1.529 (-0.020)
00D1E71620CD8C3CE14DC7BCB034738F,0,5.911228239845237,4.678855212428852,23.04,0.0,4.23,0.7915199722606803,1.2193559073792133,1.0838641825906636,9,4,27,181,0.625725338491296,0.0085505337124109,0.4881731349287951,0.5118268650712049,1,max = 23.040 (0.240); tendencia_lineal = 0.009 (0.223); std = 4.679 (0.176); racha_max_ceros = 4 (0.144); mediana = 4.230 (0.130),pct_dias_bajo_media = 0.626 (-0.126); n_valles = 181 (-0.034); skewness = 1.219 (-0.024); kurtosis = 1.084 (-0.022)
015B07A786AE482F71ED6259C4B1B2FB,0,1.63178916827853,2.431304389798911,6.71,0.0,0.0,1.4899623291186792,0.9415941874018432,-0.9312853893785148,679,391,212,10,0.6798839458413927,0.0048059977301152,0.4345659178048948,0.5654340821951052,1,min = 0 (0.217); max = 6.710 (0.160); mediana = 0 (0.140); std = 2.431 (0.136); n_valles = 10 (0.103),n_picos = 212 (-0.165); media = 1.632 (-0.124); kurtosis = -0.931 (-0.070); coef_variacion = 1.490 (-0.062); pct_dias_bajo_media = 0.680 (-0.055)
02148C7FFB336F6114B2547F789263DE,0,0.3241586073500965,1.472970051459305,14.64,0.0,0.0,4.543979453454628,6.335248193166228,44.540464043953136,865,271,73,46,0.9100580270793036,0.0006716919373751564,0.6996688937109021,0.3003311062890979,0,pct_dias_bajo_media = 0.910 (0.251); dias_consumo_cero = 865 (0.137); media = 0.324 (0.126); kurtosis = 44.540 (0.116); coef_variacion = 4.544 (0.094),mediana = 0 (-0.302); tendencia_lineal = 0.001 (-0.198); max = 14.640 (-0.165); min = 0 (-0.158); std = 1.473 (-0.128)
0221C1CC2B092A9E3B1FFD57B9CBA4FC,0,11.11629593810444,4.14148475153366,31.06,4.28,9.78,0.3725597784184098,1.4686281860699004,2.2430769642547377,0,0,0,0,0.6334622823984526,0.0009481393404137348,0.8780844028362312,0.1219155971637688,0,media = 11.116 (0.076); pct_dias_bajo_media = 0.633 (0.070),tendencia_lineal = 0.001 (-0.302); racha_max_ceros = 0 (-0.175); max = 31.060 (-0.163); std = 4.141 (-0.129); min = 4.280 (-0.125)
025D1DD87FF745D95A926C996584D6FF,0,4.899129593810443,3.977215458596525,24.99,0.0,5.07,0.8118208311168859,0.6097802617230192,0.5376924841498827,270,270,19,10,0.4825918762088975,0.0075102243759461,0.3439070582787034,0.6560929417212966,1,min = 0 (0.263); max = 24.990 (0.177); n_valles = 10 (0.166); tendencia_lineal = 0.008 (0.127); std = 3.977 (0.121),media = 4.899 (-0.155); kurtosis = 0.538 (-0.063); dias_consumo_cero = 270 (-0.060); racha_max_ceros = 270 (-0.034)
029D824D828FE51C5528A1802F006C52,0,3.721895551257252,3.601705990947489,11.29,0.73,1.38,0.9677074333079648,1.114443761429463,-0.4724993741162446,0,0,5,111,0.7108317214700194,-0.0068291910935472,0.7266140791485811,0.2733859208514189,0,pct_dias_bajo_media = 0.711 (0.160); n_valles = 111 (0.014),tendencia_lineal = -0.007 (-0.234); max = 11.290 (-0.224); racha_max_ceros = 0 (-0.186); std = 3.602 (-0.161); mediana = 1.380 (-0.118)
02BFB629C8137116684C9C85D3710DBA,0,6.4642263056093086,2.6651443153659597,22.51,0.01,6.22,0.4122913074768577,0.4453553287732165,2.496374726518848,0,0,2,45,0.5386847195357833,0.0011325950777487,0.719365686660004,0.280634313339996,0,pct_dias_bajo_media = 0.539 (0.078); media = 6.464 (0.060); kurtosis = 2.496 (0.013),tendencia_lineal = 0.001 (-0.252); max = 22.510 (-0.209); min = 0.010 (-0.152); racha_max_ceros = 0 (-0.151); std = 2.665 (-0.151)
